Geo_FIPS,Geo_NAME,Geo_QNAME,Geo_NATION,Geo_STATE,Geo_COUNTY,SE_T011_001,SE_T011_002
"34001","Atlantic County","Atlantic County, New Jersey","00","34","001",16.7,17.537823442
"34003","Bergen County","Bergen County, New Jersey","00","34","003",10.5,18.644612148
"34005","Burlington County","Burlington County, New Jersey","00","34","005",12.8,19.327721818
"34007","Camden County","Camden County, New Jersey","00","34","007",15.2,20.032323518
"34009","Cape May County","Cape May County, New Jersey","00","34","009",14.9,23.263439438
"34011","Cumberland County","Cumberland County, New Jersey","00","34","011",19.1,18.616385194
"34013","Essex County","Essex County, New Jersey","00","34","013",14.4,17.337295607
"34015","Gloucester County","Gloucester County, New Jersey","00","34","015",13.4,22.403662554
"34017","Hudson County","Hudson County, New Jersey","00","34","017",11.9,20.377186577
"34019","Hunterdon County","Hunterdon County, New Jersey","00","34","019",10.3,22.239415794
"34021","Mercer County","Mercer County, New Jersey","00","34","021",12.3,17.706131467
"34023","Middlesex County","Middlesex County, New Jersey","00","34","023",11.1,17.996494322
"34025","Monmouth County","Monmouth County, New Jersey","00","34","025",11.3,23.250304986
"34027","Morris County","Morris County, New Jersey","00","34","027",9.8,20.032667733
"34029","Ocean County","Ocean County, New Jersey","00","34","029",15.3,22.190369487
"34031","Passaic County","Passaic County, New Jersey","00","34","031",13.4,17.541348682
"34033","Salem County","Salem County, New Jersey","00","34","033",17.7,20.096664942
"34035","Somerset County","Somerset County, New Jersey","00","34","035",9.5,18.813518232
"34037","Sussex County","Sussex County, New Jersey","00","34","037",13.4,23.935828115
"34039","Union County","Union County, New Jersey","00","34","039",12.2,19.287098671
"34041","Warren County","Warren County, New Jersey","00","34","041",13.9,22.813722545
