Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A09004B_008,SE_A09004B_001,SE_A09004B_002,SE_A09004B_003,SE_A09004B_004,SE_A09004B_005,SE_A09004B_006,SE_A09004B_007
"34001","05000US34001","Atlantic County","Atlantic County, New Jersey","nj","050","00","ACSSF","0000008",,,,,"34","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123659,35024,22695,2739,5242,2495,1399,454
"34003","05000US34003","Bergen County","Bergen County, New Jersey","nj","050","00","ACSSF","0000009",,,,,"34","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,463410,149024,94205,12786,26751,7710,3091,4481
"34005","05000US34005","Burlington County","Burlington County, New Jersey","nj","050","00","ACSSF","0000010",,,,,"34","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221083,46457,37145,4800,1653,1058,617,1184
"34007","05000US34007","Camden County","Camden County, New Jersey","nj","050","00","ACSSF","0000011",,,,,"34","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242056,61277,41805,7660,6789,2411,1265,1347
"34009","05000US34009","Cape May County","Cape May County, New Jersey","nj","050","00","ACSSF","0000012",,,,,"34","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40708,8506,6205,594,242,701,444,320
"34011","05000US34011","Cumberland County","Cumberland County, New Jersey","nj","050","00","ACSSF","0000013",,,,,"34","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61376,19445,13909,2946,579,842,964,205
"34013","05000US34013","Essex County","Essex County, New Jersey","nj","050","00","ACSSF","0000014",,,,,"34","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,364684,173554,92987,15968,44947,11708,4019,3925
"34015","05000US34015","Gloucester County","Gloucester County, New Jersey","nj","050","00","ACSSF","0000015",,,,,"34","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143736,21565,17410,1866,708,501,767,313
"34017","05000US34017","Hudson County","Hudson County, New Jersey","nj","050","00","ACSSF","0000016",,,,,"34","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,344729,229157,74813,17870,103638,21603,5389,5844
"34019","05000US34019","Hunterdon County","Hunterdon County, New Jersey","nj","050","00","ACSSF","0000017",,,,,"34","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64579,8287,6233,712,133,596,238,375
"34021","05000US34021","Mercer County","Mercer County, New Jersey","nj","050","00","ACSSF","0000018",,,,,"34","021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172680,54538,34087,9988,4474,3013,1299,1677
"34023","05000US34023","Middlesex County","Middlesex County, New Jersey","nj","050","00","ACSSF","0000019",,,,,"34","023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,397598,133844,89585,15865,12247,6404,5332,4411
"34025","05000US34025","Monmouth County","Monmouth County, New Jersey","nj","050","00","ACSSF","0000020",,,,,"34","025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,308854,68252,47805,7661,3608,2592,3831,2755
"34027","05000US34027","Morris County","Morris County, New Jersey","nj","050","00","ACSSF","0000021",,,,,"34","027",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254591,58626,44680,6012,2490,2272,1049,2123
"34029","05000US34029","Ocean County","Ocean County, New Jersey","nj","050","00","ACSSF","0000022",,,,,"34","029",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249486,51730,37653,5848,1101,2082,2525,2521
"34031","05000US34031","Passaic County","Passaic County, New Jersey","nj","050","00","ACSSF","0000023",,,,,"34","031",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233160,97766,58947,16108,11371,5669,3314,2357
"34033","05000US34033","Salem County","Salem County, New Jersey","nj","050","00","ACSSF","0000024",,,,,"34","033",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28704,6704,5169,970,109,141,239,76
"34035","05000US34035","Somerset County","Somerset County, New Jersey","nj","050","00","ACSSF","0000025",,,,,"34","035",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169852,37309,27299,5333,1486,1722,296,1173
"34037","05000US34037","Sussex County","Sussex County, New Jersey","nj","050","00","ACSSF","0000026",,,,,"34","037",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73618,10643,8746,952,106,386,41,412
"34039","05000US34039","Union County","Union County, New Jersey","nj","050","00","ACSSF","0000027",,,,,"34","039",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272674,103104,61172,10280,12745,4999,11291,2617
"34041","05000US34041","Warren County","Warren County, New Jersey","nj","050","00","ACSSF","0000028",,,,,"34","041",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53449,12908,9465,1749,174,771,473,276
