OBJECTID,UA_CODE,UA_NAME,UA_TYPE,NAMELSAD10,Shape_Leng,TOTAL_SQMI,LAND_SQMI
1,00676,AIR FORCE ACADEMY,2  Small Urban,"Air Force Academy, CO Urban Cluster",,3,3
2,00847,ALAMOSA,2  Small Urban,"Alamosa, CO Urban Cluster",,10,10
3,03520,ASPEN,2  Small Urban,"Aspen, CO Urban Cluster",,8,8
4,05410,BASALT-EL JEBEL,2  Small Urban,"Basalt--El Jebel, CO Urban Cluster",,6,6
5,05734,BATTLEMENT MESA,2  Small Urban,"Battlement Mesa, CO Urban Cluster",,4,4
6,09298,BOULDER,3  Urbanized,"Boulder, CO Urbanized Area",,41,40
7,09811,BRECKENRIDGE,2  Small Urban,"Breckenridge, CO Urban Cluster",,10,10
8,11080,BRUSH,2  Small Urban,"Brush, CO Urban Cluster",,4,4
9,13267,CANON CITY,2  Small Urban,"Cañon City, CO Urban Cluster",,35,35
10,13564,CARBONDALE,2  Small Urban,"Carbondale, CO Urban Cluster",,3,3
11,18856,COLORADO SPRINGS,4  Large Urban,"Colorado Springs, CO Urbanized Area",,233,232
12,20368,CORTEZ,2  Small Urban,"Cortez, CO Urban Cluster",,29,29
13,20827,CRAIG,2  Small Urban,"Craig, CO Urban Cluster",,16,16
14,23230,DELTA,2  Small Urban,"Delta, CO Urban Cluster",,14,14
15,23527,DENVER-AURORA,4  Large Urban,"Denver--Aurora, CO Urbanized Area",,939,923
16,25147,DURANGO,2  Small Urban,"Durango, CO Urban Cluster",,27,27
17,25390,EAGLE,2  Small Urban,"Eagle, CO Urban Cluster",,2,2
18,26275,EDWARDS,2  Small Urban,"Edwards-Avon, CO Urban Cluster",,11,11
19,27928,ESTES PARK,2  Small Urban,"Estes Park, CO Urban Cluster",,33,32
20,28441,EVERGREEN,2  Small Urban,"Evergreen, CO Urban Cluster",,22,22
21,29775,FIRESTONE-FREDERICK,2  Small Urban,"Firestone--Frederick, CO Urban Cluster",,51,50
22,30007,FLORENCE,2  Small Urban,"Florence, CO Urban Cluster",,5,5
23,30628,FORT COLLINS,4  Large Urban,"Fort Collins, CO Urbanized Area",,224,211
24,30755,FORT LUPTON,2  Small Urban,"Fort Lupton, CO Urban Cluster",,9,9
25,30817,FORT MORGAN,2  Small Urban,"Fort Morgan, CO Urban Cluster",,12,12
26,33652,GLENWOOD SPRINGS,2  Small Urban,"Glenwood Springs, CO Urban Cluster",,9,9
27,34273,GRAND JUNCTION,3  Urbanized,"Grand Junction, CO Urbanized Area",,103,103
28,34786,GREELEY,3  Urbanized,"Greeley, CO Urbanized Area",,93,92
29,36001,GUNNISON,2  Small Urban,"Gunnison, CO Urban Cluster",,8,8
30,36136,GYPSUM,2  Small Urban,"Gypsum, CO Urban Cluster",,5,5
31,43253,JOHNSTOWN,2  Small Urban,"Johnstown, CO Urban Cluster",,40,40
32,46450,LA JUNTA,2  Small Urban,"La Junta, CO Urban Cluster",,7,7
33,46126,LAFAYETTE-LOUISVILLE-ERIE,3  Urbanized,"Lafayette--Louisville--Erie, CO Urbanized Area",,47,46
34,47287,LAMAR,2  Small Urban,"Lamar, CO Urban Cluster",,6,6
35,48448,LEADVILLE,2  Small Urban,"Leadville, CO Urban Cluster",,6,5
36,51175,LONGMONT,3  Urbanized,"Longmont, CO Urbanized Area",,34,33
37,58951,MONTROSE,2  Small Urban,"Montrose, CO Urban Cluster",,34,34
38,62110,NEW CASTLE,2  Small Urban,"New Castle, CO Urban Cluster",,3,3
39,72613,PUEBLO,3  Urbanized,"Pueblo, CO Urbanized Area",,249,244
40,74935,RIFLE,2  Small Urban,"Rifle, CO Urban Cluster",,8,8
41,76528,ROXBOROUGH PARK,2  Small Urban,"Roxborough Park, CO Urban Cluster",,3,3
42,78256,SALIDA,2  Small Urban,"Salida, CO Urban Cluster",,7,7
43,82090,SILVERTHORNE-FRISCO,2  Small Urban,"Silverthorne--Frisco, CO Urban Cluster",,18,18
44,84682,STEAMBOAT SPRINGS,2  Small Urban,"Steamboat Springs, CO Urban Cluster",,14,14
45,84790,STERLING,2  Small Urban,"Sterling, CO Urban Cluster",,16,16
46,88516,TRINIDAD,2  Small Urban,"Trinidad, CO Urban Cluster",,13,13
47,89920,VAIL,2  Small Urban,"Vail, CO Urban Cluster",,5,5
48,93673,WELLINGTON,2  Small Urban,"Wellington, CO Urban Cluster",,3,3
49,97048,WOODLAND PARK,2  Small Urban,"Woodland Park, CO Urban Cluster",,11,11
